FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Hydrogen,2030,,,,0.0004249492896250961,,1.306336170096178e-09,0.0001748509948835993,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0003844825721781027,0.0001111623516295486,,,3.373774600869086e-05,,
Fossil Gases,2030,,,,0.001635641213188201,,,0.0001334526910548289,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.007470683708903277,7.937091197937183e-05,0.003168171690874954,0.0062820907408898,5.039905455642576e-05,0.004500659347109801
Fossil Liquids,2030,,,,0.07584242857359601,0.0005589860579383,0.0288833029545226,0.0398321786500645,0.0003050655832605,0.0437396477109587
Biomass [Solid],2030,,,0.001572628624304701,,,,,,
Renewable Energy Carrier,2030,,,0.001047081741485413,,,,,,
Overall Demand,2030,,,0.003004192937968216,0.08548486513694213,0.0006383569699176719,0.03205147595173372,0.04645631082290141,0.0003554646378169257,0.0482403070580685
Hydrogen,2040,,,,0.002053604010160708,,1.093547660215742e-07,0.0002577736165919,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,7.322806083117311e-10,,,8.152913431792302e-11,,
Biogenic Gases,2040,,,0.001497759788412087,0.0001417368229084807,,,5.615015649739315e-05,,
Fossil Gases,2040,,,,0.0008703050421561751,,,0.0001420473188329681,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.003109201685836332,0.000129387680729,0.0038806073302648,0.0041737399182243,6.122667160201211e-05,0.005115832688583799
Fossil Liquids,2040,,,,0.020121667103184,0.0006009410903166,0.027242133265133,0.0179156096703749,0.000270718412435,0.0423519848862636
Biomass [Solid],2040,,,0.001564790190102735,,,,,,
Renewable Energy Carrier,2040,,,0.00407055340951407,,,,,,
Overall Demand,2040,,,0.007133103388028891,0.02629651539652631,0.0007303287710456,0.03112284995016382,0.0225453207620506,0.0003319450840370121,0.0474678175748474
Hydrogen,2050,,,,0.0028429310518253,,1.853475200557468e-07,0.0004117404118114,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,5.159994887463009e-09,,,2.181042364749701e-09,,
Biogenic Gases,2050,,,0.003608512460127723,2.200879955645684e-05,,,1.599038756056599e-05,,
Fossil Gases,2050,,,,4.522630829141753e-05,,,5.229533163129361e-05,,
Synthetic Liquids,2050,,,,1.721647041242079e-11,4.764648946044249e-12,1.475616247131327e-10,6.85489413995898e-11,4.193308022998501e-13,3.671568424888381e-10
Biogenic Liquids,2050,,,,0.000273505592033718,0.0002311930686831,0.0051125507058801,0.0010779854908764,7.874719523598319e-05,0.0072768487878193
Fossil Liquids,2050,,,,0.0010985726600198,0.0005420234133979,0.0246011132586586,0.0031809784935991,0.0002330211164886,0.0393920586321853
Biomass [Solid],2050,,,0.001549435461082234,,,,,,
Renewable Energy Carrier,2050,,,0.009801744138411114,,,,,,
Overall Demand,2050,,,0.01495969205962107,0.00428224958893805,0.0007732164868456489,0.02971384945962038,0.004738992365070066,0.000311768312143914,0.04666890778716144
