FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Hydrogen,2030,0.04767602703736284,,,0.0256421399922213,,9.65071904724738e-08,0.0139364213478969,,
Methanol,2030,,0.06384674424382113,,,,,,,
Ammonia,2030,,0.2606166718406689,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.03142499635655529,0.006850337430653599,,,0.0027677793200257,,
Fossil Gases,2030,,,,0.0987018420880776,,,0.0107622081681971,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.4601054722175781,0.0052338328056217,0.1516791261017478,0.505603413592951,0.0077615983989883,0.1942107263741033
Fossil Liquids,2030,,,,4.674368493966905,0.0368603496540786,1.366319886400831,3.21221133577799,0.0469809714380753,1.853329467755661
Biomass [Solid],2030,,,0.191636547641208,,,,,,
Renewable Energy Carrier,2030,,,0.0253307242798742,,,,,,
Overall Demand,2030,0.04767602703736284,0.3244634160844901,0.2483922682776376,5.265668285695435,0.0420941824597003,1.517999109009769,3.745281158207061,0.0547425698370636,2.047540194129764
Hydrogen,2040,0.1667827207976706,,,0.123828508066068,,8.07871777196514e-06,0.0206731691200213,,
Methanol,2040,,0.06861934800511871,,,,,,,
Ammonia,2040,,0.2800980114612713,,,,,,,
Synthetic Gases,2040,,,,4.430342018497615e-08,,,6.59107821886628e-09,,
Biogenic Gases,2040,,,0.1044797755817922,0.008690389568844499,,,0.0045405627177268,,
Fossil Gases,2040,,,,0.0526387370779597,,,0.0114723959868434,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.1976866876306986,0.0085320109238374,0.191236690350285,0.336774397094971,0.0094290823600573,0.2230998947077038
Fossil Liquids,2040,,,,1.300194312246819,0.0396269252086046,1.291110846047885,1.448721811248176,0.0416914089961789,1.786373646961067
Biomass [Solid],2040,,,0.1801364487631514,,,,,,
Renewable Energy Carrier,2040,,,0.07782050277081738,,,,,,
Overall Demand,2040,0.1667827207976706,0.34871735946639,0.362436727115761,1.68303867889381,0.048158936132442,1.482355615115942,1.822182342758817,0.0511204913562362,2.009473541668771
Hydrogen,2050,0.3573902270062541,,,0.1714659724771745,,1.369277589573568e-05,0.0330503032681767,,
Methanol,2050,,0.07337304653696917,,,,,,,
Ammonia,2050,,0.2995021816343595,,,,,,,
Synthetic Gases,2050,,,,3.252569000232847e-07,,,1.806523800277289e-07,,
Biogenic Gases,2050,,,0.2110708549639757,0.0013688136789312,,,0.0012880990814709,,
Fossil Gases,2050,,,,0.0028056621233245,,,0.0041978333161224,,
Synthetic Liquids,2050,,,,2.170542088876529e-09,3.14187847149323e-10,6.828878685658796e-09,5.500158149030991e-09,6.45781416421835e-11,1.769725436263565e-08
Biogenic Liquids,2050,,,,0.0255555178060996,0.0152452055435702,0.258722724004716,0.08705103431697761,0.0121272930583278,0.3162198265627567
Fossil Liquids,2050,,,,0.1305616867782393,0.0357418083238652,1.142093803362813,0.25677162471406,0.0358859177138772,1.65236904005886
Biomass [Solid],2050,,,0.1561590393106004,,,,,,
Renewable Energy Carrier,2050,,,0.1465470035201948,,,,,,
Overall Demand,2050,0.3573902270062541,0.3728752281713287,0.513776897794771,0.3317579802912112,0.05098701418162325,1.400830226972303,0.3823590808493458,0.04801321083678314,1.968588884318871
